N,l_grad,trial,seed,FE,IE
1600,2,1,13807,1.046e-02,1.486e-03
1600,3,1,13807,1.046e-02,1.221e-03
1600,4,1,13807,1.046e-02,1.369e-03
1600,5,1,13807,1.046e-02,1.772e-03
1600,2,2,66053,9.276e-03,9.990e-04
1600,3,2,66053,9.276e-03,8.477e-04
1600,4,2,66053,9.276e-03,9.883e-04
1600,5,2,66053,9.276e-03,2.063e-03
1600,2,3,74963,7.879e-03,9.435e-04
1600,3,3,74963,7.879e-03,6.000e-04
1600,4,3,74963,7.879e-03,1.054e-03
1600,5,3,74963,7.879e-03,1.781e-03
1600,2,4,15185,1.016e-02,1.091e-03
1600,3,4,15185,1.016e-02,1.509e-03
1600,4,4,15185,1.016e-02,2.284e-03
1600,5,4,15185,1.016e-02,1.175e-03
3200,2,1,10585,2.561e-03,3.540e-04
3200,3,1,10585,2.561e-03,2.397e-04
3200,4,1,10585,2.561e-03,2.061e-04
3200,5,1,10585,2.561e-03,4.159e-04
3200,2,2,48781,2.465e-03,4.665e-04
3200,3,2,48781,2.465e-03,3.047e-04
3200,4,2,48781,2.465e-03,2.687e-04
3200,5,2,48781,2.465e-03,4.983e-04
3200,2,3,49297,2.560e-03,6.114e-04
3200,3,3,49297,2.560e-03,4.030e-04
3200,4,3,49297,2.560e-03,2.315e-04
3200,5,3,49297,2.560e-03,1.487e-04
3200,2,4,92519,2.854e-03,5.500e-04
3200,3,4,92519,2.854e-03,3.140e-04
3200,4,4,92519,2.854e-03,4.866e-04
3200,5,4,92519,2.854e-03,2.723e-04
6400,2,1,5562,7.484e-04,1.655e-04
6400,3,1,5562,7.484e-04,7.406e-05
6400,4,1,5562,7.484e-04,7.404e-05
6400,5,1,5562,7.484e-04,7.790e-05
6400,2,2,57001,8.945e-04,1.840e-04
6400,3,2,57001,8.945e-04,1.711e-04
6400,4,2,57001,8.945e-04,1.741e-04
6400,5,2,57001,8.945e-04,1.820e-04
6400,2,3,22775,6.835e-04,1.009e-04
6400,3,3,22775,6.835e-04,6.136e-05
6400,4,3,22775,6.835e-04,5.218e-05
6400,5,3,22775,6.835e-04,4.857e-05
6400,2,4,29774,8.150e-04,8.839e-05
6400,3,4,29774,8.150e-04,1.148e-04
6400,4,4,29774,8.150e-04,6.744e-05
6400,5,4,29774,8.150e-04,9.885e-05
12800,2,1,47005,2.064e-04,3.456e-05
12800,3,1,47005,2.064e-04,1.980e-05
12800,4,1,47005,2.064e-04,1.059e-05
12800,5,1,47005,2.064e-04,1.132e-05
12800,2,2,80904,2.040e-04,4.534e-05
12800,3,2,80904,2.040e-04,2.273e-05
12800,4,2,80904,2.040e-04,3.178e-05
12800,5,2,80904,2.040e-04,2.582e-05
12800,2,3,25119,1.864e-04,4.863e-05
12800,3,3,25119,1.864e-04,3.154e-05
12800,4,3,25119,1.864e-04,2.444e-05
12800,5,3,25119,1.864e-04,2.997e-05
12800,2,4,70938,2.339e-04,5.969e-05
12800,3,4,70938,2.339e-04,1.720e-05
12800,4,4,70938,2.339e-04,1.603e-05
12800,5,4,70938,2.339e-04,2.224e-05
25600,2,1,35097,6.371e-05,2.058e-05
25600,3,1,35097,6.371e-05,9.761e-06
25600,4,1,35097,6.371e-05,5.906e-06
25600,5,1,35097,6.371e-05,2.657e-05
25600,2,2,27317,7.375e-05,3.396e-05
25600,3,2,27317,7.375e-05,5.154e-06
25600,4,2,27317,7.375e-05,2.772e-06
25600,5,2,27317,7.375e-05,5.212e-06
25600,2,3,53352,4.958e-05,2.076e-05
25600,3,3,53352,4.958e-05,4.870e-06
25600,4,3,53352,4.958e-05,2.206e-06
25600,5,3,53352,4.958e-05,2.162e-06
25600,2,4,82327,5.947e-05,2.598e-05
25600,3,4,82327,5.947e-05,4.419e-06
25600,4,4,82327,5.947e-05,2.003e-06
25600,5,4,82327,5.947e-05,1.937e-06
