N,l_grad,trial,seed,FE,IE
1600,2,1,13807,6.641e-03,6.817e-01
1600,3,1,13807,6.641e-03,8.690e-02
1600,4,1,13807,6.641e-03,3.301e-01
1600,5,1,13807,6.641e-03,3.157e-01
1600,2,2,66053,6.862e-03,3.666e-01
1600,3,2,66053,6.862e-03,5.352e-02
1600,4,2,66053,6.862e-03,8.241e-01
1600,5,2,66053,6.862e-03,7.504e-01
3200,2,1,10585,2.186e-03,5.060e-01
3200,3,1,10585,2.186e-03,3.955e-02
3200,4,1,10585,2.186e-03,1.578e-01
3200,5,1,10585,2.186e-03,1.002e+00
3200,2,2,48781,2.297e-03,1.047e-01
3200,3,2,48781,2.297e-03,6.298e-02
3200,4,2,48781,2.297e-03,8.498e-03
3200,5,2,48781,2.297e-03,1.081e-01
6400,2,1,5562,4.855e-04,8.776e-01
6400,3,1,5562,4.855e-04,2.781e-02
6400,4,1,5562,4.855e-04,6.951e-02
6400,5,1,5562,4.855e-04,1.280e-01
6400,2,2,57001,5.429e-04,1.098e+00
6400,3,2,57001,5.429e-04,3.089e-02
6400,4,2,57001,5.429e-04,6.741e-02
6400,5,2,57001,5.429e-04,2.879e-01
12800,2,1,47005,1.349e-04,1.197e+00
12800,3,1,47005,1.349e-04,2.683e-02
12800,4,1,47005,1.349e-04,4.549e-02
12800,5,1,47005,1.349e-04,4.216e-02
12800,2,2,80904,1.478e-04,1.729e+00
12800,3,2,80904,1.478e-04,2.494e-02
12800,4,2,80904,1.478e-04,2.416e-02
12800,5,2,80904,1.478e-04,2.167e-01
25600,2,1,35097,3.930e-05,1.377e+00
25600,3,1,35097,3.930e-05,1.515e-02
25600,4,1,35097,3.930e-05,2.144e-02
25600,5,1,35097,3.930e-05,4.972e-02
25600,2,2,27317,7.046e-05,1.645e+00
25600,3,2,27317,7.046e-05,5.096e-03
25600,4,2,27317,7.046e-05,1.267e-02
25600,5,2,27317,7.046e-05,6.218e-02
