N,l_grad,trial,seed,FE,IE
1600,2,1,13807,1.069e-02,1.393e-03
1600,3,1,13807,1.069e-02,1.144e-03
1600,4,1,13807,1.069e-02,1.355e-03
1600,5,1,13807,1.069e-02,1.438e-03
1600,2,2,66053,9.205e-03,9.887e-04
1600,3,2,66053,9.205e-03,8.393e-04
1600,4,2,66053,9.205e-03,9.723e-04
1600,5,2,66053,9.205e-03,2.001e-03
1600,2,3,74963,8.151e-03,9.384e-04
1600,3,3,74963,8.151e-03,6.049e-04
1600,4,3,74963,8.151e-03,1.052e-03
1600,5,3,74963,8.151e-03,1.900e-03
1600,2,4,15185,1.014e-02,1.060e-03
1600,3,4,15185,1.014e-02,1.412e-03
1600,4,4,15185,1.014e-02,2.152e-03
1600,5,4,15185,1.014e-02,1.147e-03
3200,2,1,10585,2.675e-03,4.844e-04
3200,3,1,10585,2.675e-03,3.854e-04
3200,4,1,10585,2.675e-03,3.518e-04
3200,5,1,10585,2.675e-03,6.050e-04
3200,2,2,48781,2.352e-03,4.646e-04
3200,3,2,48781,2.352e-03,3.050e-04
