N,l_grad,trial,seed,FE,IE
1600,2,1,13807,8.485e-03,6.289e-04
1600,3,1,13807,8.485e-03,6.567e-04
1600,4,1,13807,8.485e-03,6.221e-04
1600,5,1,13807,8.485e-03,1.067e-03
1600,2,2,66053,6.828e-03,1.957e-03
1600,3,2,66053,6.828e-03,1.875e-03
1600,4,2,66053,6.828e-03,1.873e-03
1600,5,2,66053,6.828e-03,1.435e-03
1600,2,3,74963,5.215e-03,9.253e-04
1600,3,3,74963,5.215e-03,9.231e-04
1600,4,3,74963,5.215e-03,1.050e-03
1600,5,3,74963,5.215e-03,1.574e-03
1600,2,4,15185,6.415e-03,4.323e-04
1600,3,4,15185,6.415e-03,4.208e-04
1600,4,4,15185,6.415e-03,5.015e-04
1600,5,4,15185,6.415e-03,7.931e-04
3200,2,1,10585,2.000e-03,2.931e-04
3200,3,1,10585,2.000e-03,3.286e-04
3200,4,1,10585,2.000e-03,3.744e-04
3200,5,1,10585,2.000e-03,3.467e-04
3200,2,2,48781,2.199e-03,2.276e-04
3200,3,2,48781,2.199e-03,2.484e-04
3200,4,2,48781,2.199e-03,2.287e-04
3200,5,2,48781,2.199e-03,2.363e-04
3200,2,3,49297,1.201e-03,3.418e-04
3200,3,3,49297,1.201e-03,3.714e-04
3200,4,3,49297,1.201e-03,3.733e-04
3200,5,3,49297,1.201e-03,3.629e-04
3200,2,4,92519,2.356e-03,3.820e-04
3200,3,4,92519,2.356e-03,3.621e-04
3200,4,4,92519,2.356e-03,3.657e-04
3200,5,4,92519,2.356e-03,3.029e-04
6400,2,1,5562,6.222e-04,9.406e-05
6400,3,1,5562,6.222e-04,7.606e-05
6400,4,1,5562,6.222e-04,7.017e-05
6400,5,1,5562,6.222e-04,7.314e-05
6400,2,2,57001,8.027e-04,2.324e-04
6400,3,2,57001,8.027e-04,2.377e-04
6400,4,2,57001,8.027e-04,2.252e-04
6400,5,2,57001,8.027e-04,2.477e-04
6400,2,3,22775,5.851e-04,3.637e-05
6400,3,3,22775,5.851e-04,4.958e-05
6400,4,3,22775,5.851e-04,3.560e-05
6400,5,3,22775,5.851e-04,2.676e-05
6400,2,4,29774,6.620e-04,5.897e-05
6400,3,4,29774,6.620e-04,7.064e-05
6400,4,4,29774,6.620e-04,5.622e-05
6400,5,4,29774,6.620e-04,7.277e-05
12800,2,1,47005,1.838e-04,1.046e-05
12800,3,1,47005,1.838e-04,1.489e-05
12800,4,1,47005,1.838e-04,1.201e-05
12800,5,1,47005,1.838e-04,1.279e-05
12800,2,2,80904,1.344e-04,2.223e-05
12800,3,2,80904,1.344e-04,2.895e-05
12800,4,2,80904,1.344e-04,2.390e-05
12800,5,2,80904,1.344e-04,1.932e-05
12800,2,3,25119,1.370e-04,2.329e-05
12800,3,3,25119,1.370e-04,1.849e-05
12800,4,3,25119,1.370e-04,2.049e-05
12800,5,3,25119,1.370e-04,2.346e-05
12800,2,4,70938,2.061e-04,2.012e-05
12800,3,4,70938,2.061e-04,1.407e-05
12800,4,4,70938,2.061e-04,1.178e-05
12800,5,4,70938,2.061e-04,1.237e-05
25600,2,1,35097,5.262e-05,4.256e-06
25600,3,1,35097,5.262e-05,2.925e-06
25600,4,1,35097,5.262e-05,2.367e-06
25600,5,1,35097,5.262e-05,2.032e-06
25600,2,2,27317,6.087e-05,4.470e-06
25600,3,2,27317,6.087e-05,3.299e-06
25600,4,2,27317,6.087e-05,2.837e-06
25600,5,2,27317,6.087e-05,2.694e-06
25600,2,3,53352,3.933e-05,3.808e-06
25600,3,3,53352,3.933e-05,5.756e-06
25600,4,3,53352,3.933e-05,4.616e-06
25600,5,3,53352,3.933e-05,3.814e-06
25600,2,4,82327,4.568e-05,4.841e-06
25600,3,4,82327,4.568e-05,2.752e-06
25600,4,4,82327,4.568e-05,1.654e-06
25600,5,4,82327,4.568e-05,1.449e-06
