N,l_grad,trial,seed,FE,IE
1600,2,1,13807,5.816e-03,0.000e+00
1600,3,1,13807,4.473e-03,0.000e+00
1600,4,1,13807,6.059e-03,0.000e+00
1600,5,1,13807,1.073e-02,0.000e+00
1600,2,2,66053,5.437e-03,0.000e+00
1600,3,2,66053,5.321e-03,0.000e+00
1600,4,2,66053,5.882e-03,0.000e+00
1600,5,2,66053,6.356e-03,0.000e+00
1600,2,3,74963,4.902e-03,0.000e+00
1600,3,3,74963,3.297e-03,0.000e+00
1600,4,3,74963,5.000e-03,0.000e+00
1600,5,3,74963,5.528e-03,0.000e+00
1600,2,4,15185,6.955e-03,0.000e+00
1600,3,4,15185,7.124e-03,0.000e+00
1600,4,4,15185,8.595e-03,0.000e+00
1600,5,4,15185,1.215e-02,0.000e+00
3200,2,1,10585,1.770e-03,0.000e+00
3200,3,1,10585,1.302e-03,0.000e+00
3200,4,1,10585,1.277e-03,0.000e+00
3200,5,1,10585,1.185e-03,0.000e+00
3200,2,2,48781,2.197e-03,0.000e+00
3200,3,2,48781,1.082e-03,0.000e+00
3200,4,2,48781,1.147e-03,0.000e+00
3200,5,2,48781,1.054e-03,0.000e+00
3200,2,3,49297,2.006e-03,0.000e+00
3200,3,3,49297,1.485e-03,0.000e+00
3200,4,3,49297,1.249e-03,0.000e+00
3200,5,3,49297,1.431e-03,0.000e+00
3200,2,4,92519,2.158e-03,0.000e+00
3200,3,4,92519,1.565e-03,0.000e+00
3200,4,4,92519,1.767e-03,0.000e+00
3200,5,4,92519,1.494e-03,0.000e+00
6400,2,1,5562,7.346e-04,0.000e+00
6400,3,1,5562,3.824e-04,0.000e+00
6400,4,1,5562,2.106e-04,0.000e+00
6400,5,1,5562,1.483e-04,0.000e+00
6400,2,2,57001,7.480e-04,0.000e+00
6400,3,2,57001,3.699e-04,0.000e+00
6400,4,2,57001,2.191e-04,0.000e+00
6400,5,2,57001,2.127e-04,0.000e+00
6400,2,3,22775,7.330e-04,0.000e+00
6400,3,3,22775,4.240e-04,0.000e+00
6400,4,3,22775,2.228e-04,0.000e+00
6400,5,3,22775,2.366e-04,0.000e+00
6400,2,4,29774,4.776e-04,0.000e+00
6400,3,4,29774,3.125e-04,0.000e+00
6400,4,4,29774,2.483e-04,0.000e+00
6400,5,4,29774,1.644e-04,0.000e+00
12800,2,1,47005,3.046e-04,0.000e+00
12800,3,1,47005,1.018e-04,0.000e+00
12800,4,1,47005,4.276e-05,0.000e+00
12800,5,1,47005,2.964e-05,0.000e+00
12800,2,2,80904,3.157e-04,0.000e+00
12800,3,2,80904,1.388e-04,0.000e+00
12800,4,2,80904,5.339e-05,0.000e+00
12800,5,2,80904,4.522e-05,0.000e+00
12800,2,3,25119,4.061e-04,0.000e+00
12800,3,3,25119,1.350e-04,0.000e+00
12800,4,3,25119,5.962e-05,0.000e+00
12800,5,3,25119,3.300e-05,0.000e+00
12800,2,4,70938,3.394e-04,0.000e+00
12800,3,4,70938,1.190e-04,0.000e+00
12800,4,4,70938,4.200e-05,0.000e+00
12800,5,4,70938,3.378e-05,0.000e+00
25600,2,1,35097,1.512e-04,0.000e+00
25600,3,1,35097,4.559e-05,0.000e+00
25600,4,1,35097,1.080e-05,0.000e+00
25600,5,1,35097,5.535e-06,0.000e+00
25600,2,2,27317,1.349e-04,0.000e+00
25600,3,2,27317,4.614e-05,0.000e+00
25600,4,2,27317,1.316e-05,0.000e+00
25600,5,2,27317,7.554e-06,0.000e+00
25600,2,3,53352,1.446e-04,0.000e+00
25600,3,3,53352,4.408e-05,0.000e+00
25600,4,3,53352,1.285e-05,0.000e+00
25600,5,3,53352,4.665e-06,0.000e+00
25600,2,4,82327,1.608e-04,0.000e+00
25600,3,4,82327,4.386e-05,0.000e+00
25600,4,4,82327,1.037e-05,0.000e+00
25600,5,4,82327,4.631e-06,0.000e+00
