N,l_grad,trial,seed,FE,IE
1600,2,1,13807,7.426e-03,9.940e-01
1600,3,1,13807,7.426e-03,2.857e-01
1600,4,1,13807,7.426e-03,3.206e-01
1600,5,1,13807,7.426e-03,7.025e-01
1600,2,2,66053,7.198e-03,2.818e-01
1600,3,2,66053,7.198e-03,9.333e-02
1600,4,2,66053,7.198e-03,2.745e-01
1600,5,2,66053,7.198e-03,2.934e+00
1600,2,3,74963,5.689e-03,3.827e+00
1600,3,3,74963,5.689e-03,9.533e-02
1600,4,3,74963,5.689e-03,3.434e-01
1600,5,3,74963,5.689e-03,1.308e-01
1600,2,4,15185,6.025e-03,1.624e+00
1600,3,4,15185,6.025e-03,1.127e+00
1600,4,4,15185,6.025e-03,2.377e-01
1600,5,4,15185,6.025e-03,6.903e-02
3200,2,1,10585,2.161e-03,8.088e-01
3200,3,1,10585,2.161e-03,8.548e-03
3200,4,1,10585,2.161e-03,5.772e-01
3200,5,1,10585,2.161e-03,3.333e-01
3200,2,2,48781,2.121e-03,9.442e-02
3200,3,2,48781,2.121e-03,1.975e-02
3200,4,2,48781,2.121e-03,8.594e-02
3200,5,2,48781,2.121e-03,3.585e-01
3200,2,3,49297,1.576e-03,1.650e+00
3200,3,3,49297,1.576e-03,1.099e-02
3200,4,3,49297,1.576e-03,2.449e+02
3200,5,3,49297,1.576e-03,5.178e-01
3200,2,4,92519,1.943e-03,1.115e+00
3200,3,4,92519,1.943e-03,5.838e-02
3200,4,4,92519,1.943e-03,2.824e+00
3200,5,4,92519,1.943e-03,2.393e-01
6400,2,1,5562,4.868e-04,6.604e-01
6400,3,1,5562,4.868e-04,2.250e-02
6400,4,1,5562,4.868e-04,2.567e+00
6400,5,1,5562,4.868e-04,9.190e-01
6400,2,2,57001,5.100e-04,4.765e-01
6400,3,2,57001,5.100e-04,3.774e-03
6400,4,2,57001,5.100e-04,3.566e-02
6400,5,2,57001,5.100e-04,3.768e-01
6400,2,3,22775,7.003e-04,3.277e+00
6400,3,3,22775,7.003e-04,4.585e-03
6400,4,3,22775,7.003e-04,2.545e-01
6400,5,3,22775,7.003e-04,1.908e-01
6400,2,4,29774,5.452e-04,7.944e-01
6400,3,4,29774,5.452e-04,2.192e-02
6400,4,4,29774,5.452e-04,1.310e+00
6400,5,4,29774,5.452e-04,2.434e-01
12800,2,1,47005,1.333e-04,2.920e-01
12800,3,1,47005,1.333e-04,5.231e-03
12800,4,1,47005,1.333e-04,2.397e-01
12800,5,1,47005,1.333e-04,1.673e-01
12800,2,2,80904,1.351e-04,1.537e+00
12800,3,2,80904,1.351e-04,1.537e-02
12800,4,2,80904,1.351e-04,3.729e-01
12800,5,2,80904,1.351e-04,1.743e-01
12800,2,3,25119,1.614e-04,5.989e-01
12800,3,3,25119,1.614e-04,1.356e-02
12800,4,3,25119,1.614e-04,2.227e-01
12800,5,3,25119,1.614e-04,2.084e-01
12800,2,4,70938,1.514e-04,6.604e+00
12800,3,4,70938,1.514e-04,7.272e-03
12800,4,4,70938,1.514e-04,1.149e-01
12800,5,4,70938,1.514e-04,1.904e-01
25600,2,1,35097,3.855e-05,9.406e-01
25600,3,1,35097,3.855e-05,1.666e-02
25600,4,1,35097,3.855e-05,5.296e-02
25600,5,1,35097,3.855e-05,6.231e-02
25600,2,2,27317,6.934e-05,1.148e+01
25600,3,2,27317,6.934e-05,7.423e-03
25600,4,2,27317,6.934e-05,6.863e-02
25600,5,2,27317,6.934e-05,1.052e-01
25600,2,3,53352,4.384e-05,2.376e+00
25600,3,3,53352,4.384e-05,4.722e-03
25600,4,3,53352,4.384e-05,8.649e-02
25600,5,3,53352,4.384e-05,2.467e-01
25600,2,4,82327,4.456e-05,1.650e+00
25600,3,4,82327,4.456e-05,1.674e-03
25600,4,4,82327,4.456e-05,2.019e-02
25600,5,4,82327,4.456e-05,7.965e-02
